step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
72,0.99999895903132296,0.9999975342281916,0.9999975342281916,0.0026211739777181366,1.7252199696238086e-06,0.99737463503050383,0.011096124297261797
73,0.99999897304721985,0.99999754823251397,0.99999754823251397,0.0026201509237018918,1.723428178548241e-06,0.99737567388063353,0.011450861940737828
74,0.99999897639425805,0.99999755158387116,0.99999755158387116,0.0026193847584365334,1.722125025927884e-06,0.99737644470040865,0.011537971457971349
75,0.99999898662037601,0.99999756179772969,0.99999756179772969,0.0026186319351389907,1.7211600431160212e-06,0.99737720870254754,0.010349258296905762
76,0.99999899789295821,0.99999757305958115,0.99999757305958115,0.0026180816981850232,1.7198430120159966e-06,0.99737777151838414,0.010349145668601135
77,0.99999900133277009,0.99999757650009491,0.99999757650009491,0.0026176208196530483,1.7189029703185131e-06,0.99737823677747151,0.009955225236525379
78,0.99999899732971542,0.99999757250899224,0.99999757250899224,0.0026172012023133215,1.7183586639383929e-06,0.99737865294801498,0.010154114858121571
79,0.99999900645209716,0.99999758162563446,0.99999758162563446,0.0026167694643378929,1.7170078708757944e-06,0.99737909515342571,0.010104816251464135
80,0.99999901958326876,0.99999759474529171,0.99999759474529171,0.0026163502084148903,1.7154232691227276e-06,0.99737952911360772,0.010959832171459474
81,0.99999903378427613,0.99999760893943113,0.99999760893943113,0.0026157530226889052,1.7130268289410907e-06,0.99738014288991328,0.010868088477467933
82,0.9999990597170223,0.99999763486249171,0.99999763486249171,0.002615450463102873,1.7085403882291324e-06,0.99738047585900058,0.01153765609636709
83,0.9999990604993968,0.9999976356493071,0.9999976356493071,0.0026148557525357604,1.7077296766622079e-06,0.99738107216709471,0.010821325936096462
84,0.99999905602541128,0.9999976311761859,0.9999976311761859,0.0026144103813162066,1.7083690196006033e-06,0.99738151242585005,0.010348728982513775
85,0.99999905880011153,0.99999763394777474,0.99999763394777474,0.0026139473662037515,1.708009592924393e-06,0.99738197857197808,0.0095443895958915361
86,0.99999907052636317,0.99999764566534122,0.99999764566534122,0.0026136227013074638,1.7063145229480243e-06,0.99738231664951083,0.0098537248637357629
87,0.99999908167168794,0.99999765680510766,0.99999765680510766,0.0026132456727652096,1.7044703125543183e-06,0.99738270666202988,0.010774742931498443
88,0.99999910179240392,0.99999767691453689,0.99999767691453689,0.0026128803156261499,1.7013201747653015e-06,0.99738309527873603,0.01118460175200584
89,0.99999910981561579,0.99999768493296259,0.99999768493296259,0.0026125306036017797,1.7000282981508849e-06,0.99738345430106268,0.010774675168357398
90,0.99999912057100759,0.99999769568179486,0.99999769568179486,0.002612089869147564,1.6983257453232513e-06,0.99738390748690198,0.010866888705350755
91,0.99999914641106025,0.99999772150613453,0.99999772150613453,0.0026117689730376353,1.6943584568944504e-06,0.99738425817464005,0.011622853446872885
92,0.99999916366789021,0.99999773875219333,0.99999773875219333,0.0026113151493026977,1.6917128389940626e-06,0.99738473189005161,0.011751124827990492
93,0.99999918959021483,0.99999776465857571,0.99999776465857571,0.0026106986374746744,1.6877257748627414e-06,0.99738537829532614,0.010912886351147882
94,0.9999992157350488,0.99999779078753248,0.99999779078753248,0.0026099919070495772,1.6837508281943026e-06,0.99738611512965469,0.011878144770348225
95,0.99999924889371827,0.99999782392610814,0.99999782392610814,0.0026092481587599624,1.6787158163676889e-06,0.99738689705153183,0.012493793624516435
96,0.99999925811513124,0.99999783314400126,0.99999783314400126,0.0026085139068198152,1.6769210546905713e-06,0.99738764231612675,0.011536602937996418
97,0.9999992649753362,0.99999784000140701,0.99999784000140701,0.0026078482052425286,1.6755262323364984e-06,0.99738831626993218,0.011273227990176212
98,0.99999924377141525,0.99999781881409211,0.99999781881409211,0.0026072937653212995,1.6779073127187353e-06,0.99738884714145815,0.010347725895911366
99,0.9999992682901474,0.99999784331771124,0.99999784331771124,0.0026065614268687806,1.6739835799802408e-06,0.9973896079072625,0.010912235022041123
100,0.99999928674563043,0.99999786176325667,0.99999786176325667,0.0026060464532549734,1.6707617160042333e-06,0.99739014454828567,0.010679941249759989
101,0.99999928252636172,0.99999785754851844,0.99999785754851844,0.0026055273921676727,1.6710777700548092e-06,0.99739065907858071,0.009749710360924025
102,0.99999927515611731,0.99999785018451459,0.99999785018451459,0.0026052344466653975,1.6719919543692793e-06,0.99739094374589488,0.010052451638425957
103,0.9999992793114223,0.99999785433929611,0.99999785433929611,0.0026048367371205999,1.6710271901967362e-06,0.99739134657498529,0.010151388998264227
104,0.99999928111922287,0.99999785614822223,0.99999785614822223,0.0026045182310995081,1.6704478795139356e-06,0.99739166746924324,0.010052483716157417
105,0.99999928553260342,0.99999786056108797,0.99999786056108797,0.0026042288002641697,1.6695126732948769e-06,0.99739196224815052,0.0093300640756707378
106,0.99999929865625237,0.99999787367878845,0.99999787367878845,0.0026040910627592659,1.667303301010735e-06,0.9973921153127282,0.010151416611306878
107,0.99999929641897323,0.99999787144594288,0.99999787144594288,0.0026037806166421271,1.6673020971018722e-06,0.9973924235272037,0.010101979534715314
108,0.99999929234382878,0.99999786737557472,0.99999786737557472,0.0026035639119534712,1.6677135996652868e-06,0.99739263575002157,0.01029821652390085
109,0.99999928993093801,0.99999786496426057,0.99999786496426057,0.0026033524204715874,1.6681249321983048e-06,0.99739284441885678,0.0087776934620788193
110,0.99999929713589508,0.99999787216551828,0.99999787216551828,0.0026031621055128237,1.6669970761842679e-06,0.99739304306292931,0.0093299886541165222
111,0.9999993016504729,0.99999787667907936,0.99999787667907936,0.0026030225940567729,1.6661749227524316e-06,0.99739318791009979,0.0094365041654544193
112,0.99999930270267989,0.99999787773196958,0.99999787773196958,0.0026028529520028855,1.6659051521467621e-06,0.99739335887481451,0.0090026161578736202
113,0.99999930383694968,0.99999787886793912,0.99999787886793912,0.0026026889066709273,1.6655580836858183e-06,0.99739352440318452,0.0092220028593725297
114,0.99999930912538149,0.99999788415610291,0.99999788415610291,0.00260247560352596,1.6645544727386349e-06,0.99739374399810421,0.0095419826338939053
115,0.99999931818527199,0.99999789321591137,0.99999789321591137,0.0026022017390663513,1.6628421188144602e-06,0.99739402863472626,0.010538146631246425
116,0.99999933089902848,0.99999790592924065,0.99999790592924065,0.0026019404209133993,1.6605049051626006e-06,0.99739430500342208,0.011664420335649954
117,0.99999933685205722,0.99999791188021614,0.99999791188021614,0.0026015072162138904,1.6595200465467687e-06,0.99739474514395565,0.010632412458495635
118,0.99999933842449285,0.99999791345088496,0.99999791345088496,0.0026011842547839668,1.6593215986369628e-06,0.99739506987450233,0.010151022576460037
119,0.99999934369332211,0.99999791871804589,0.99999791871804589,0.0026009549990243333,1.6584591978055262e-06,0.99739530525982378,0.0099518468991107688
120,0.999999353452661,0.99999792847628377,0.99999792847628377,0.0026007018017828814,1.6567460993236028e-06,0.99739556992840162,0.010394305966288755
121,0.99999936114832555,0.99999793617177324,0.99999793617177324,0.0026005172308475122,1.6553743940844902e-06,0.99739576356653159,0.0094365257396940901
122,0.99999936172923054,0.99999793675267223,0.99999793675267223,0.0026002788319512541,1.6552592449351985e-06,0.9973960026614761,0.0078130126702539177
123,0.99999936492111863,0.99999793994378905,0.99999793994378905,0.0026000940424117671,1.6547157043060525e-06,0.99739619118567302,0.0081876538932531273
124,0.99999937263683669,0.99999794765823002,0.99999794765823002,0.0025998317388313047,1.6533979129815466e-06,0.99739646252148573,0.010051785134712908
125,0.99999938376409758,0.99999795878394671,0.99999795878394671,0.0025996170785094861,1.6514993287050261e-06,0.99739669020610855,0.010957304569619009
126,0.999999389391931,0.99999796441103783,0.99999796441103783,0.0025993155152519922,1.6504891484176346e-06,0.99739699840663743,0.0099024289126975577
127,0.99999939446994557,0.99999796948857633,0.99999796948857633,0.0025990367268532836,1.6495354084023404e-06,0.9973972832263146,0.0091135242708157756
128,0.9999994056319248,0.9999979806493996,0.9999979806493996,0.0025987229505941524,1.6474876112429663e-06,0.99739761021119422,0.010819394732840649
129,0.99999940609170024,0.99999798110949778,0.99999798110949778,0.0025983717688522986,1.6472307949069908e-06,0.99739796210985054,0.010538329221812527
130,0.99999941501020151,0.99999799002732781,0.99999799002732781,0.0025981761509397895,1.6454408422955532e-06,0.99739816843554574,0.011707361648128837
131,0.99999941088000432,0.99999798589827504,0.99999798589827504,0.0025977328501741114,1.6459369035847627e-06,0.99739860711119732,0.0099527237178212019
132,0.99999941218546762,0.99999798720399846,0.99999798720399846,0.0025974339655975161,1.6455033084765925e-06,0.99739890773509243,0.0096464216874341275
133,0.9999994158587352,0.99999799087741126,0.99999799087741126,0.0025971408557573187,1.6445933737739297e-06,0.9973992054282802,0.0094369521810640112
134,0.99999941995015196,0.99999799496898845,0.99999799496898845,0.0025968790786104153,1.6435719372618962e-06,0.99739947231844073,0.010249702341908428
135,0.99999942517518137,0.99999800019433127,0.99999800019433127,0.0025966186469473336,1.642214068082521e-06,0.99739973933331583,0.010726622063667857
136,0.99999943003043956,0.99999800504978875,0.99999800504978875,0.002596323321465456,1.6409508357108617e-06,0.99740004077748756,0.010584859201853701
137,0.99999943641922773,0.9999980114388487,0.9999980114388487,0.0025960752930551888,1.6392626045267679e-06,0.99740029688318899,0.011046955438454431
138,0.999999438505081,0.99999801352496198,0.99999801352496198,0.0025957798426062325,1.6386372240150543e-06,0.99740059504513179,0.01122651224735801
139,0.99999943974650929,0.99999801476676464,0.99999801476676464,0.0025953668917781721,1.6381969044002093e-06,0.9974010096780821,0.010297467098877704
140,0.99999943933723867,0.99999801435825464,0.99999801435825464,0.0025950482658637364,1.6380559274854008e-06,0.99740132803646342,0.010818326874203747
141,0.99999944280721953,0.99999801782877762,0.99999801782877762,0.0025947165265676935,1.6370334312540436e-06,0.99740166426877863,0.010490018003086129
142,0.9999994417864867,0.99999801680815337,0.99999801680815337,0.0025944448778073372,1.6372725370264755e-06,0.99740193465780902,0.0091120809404646574
143,0.9999994445515662,0.99999801957373835,0.99999801957373835,0.0025942618571565042,1.6364389126642655e-06,0.99740212127766914,0.0099524332646058426
144,0.99999944519306083,0.99999802021590534,0.99999802021590534,0.002594072983508828,1.6360684234430448e-06,0.99740231116397304,0.0091131785640138213
145,0.9999994461698507,0.9999980211930779,0.9999980211930779,0.0025939356370830485,1.6356738122389452e-06,0.99740244988218263,0.0086631517035268314
146,0.99999944772715632,0.99999802275094252,0.99999802275094252,0.0025938279523920246,1.6350696689702217e-06,0.99740255972888148,0.0083093633254751886
